Open,High,Low,Close
19,25,17.540001,23.889999
25.790001,30.42,23.299999,23.83
25,25.92,20.27,21.959999
23,23.1,18.709999,19.200001
20,20,15.83,16.110001
16.4,16.629999,14.98,15.8
16.139999,17.52,15.57,17.459999
17.58,17.9,16.549999,17.4
17.950001,18.07,17,17.049999
17.389999,18.639999,16.9,18.139999
17.940001,20.15,17.76,19.84
19.940001,21.5,19,19.889999
20.700001,21.299999,20.049999,20.639999
21.370001,22.25,20.92,21.91
21.85,21.85,20.049999,20.299999
20.66,20.9,19.5,20.219999
20.5,21.25,20.370001,21
21.190001,21.559999,21.059999,21.290001
21.5,21.5,20.299999,20.950001
20.91,21.18,20.26,20.549999
20.549999,20.9,20.51,20.719999
20.77,20.879999,20,20.35
20.200001,20.440001,19.549999,19.940001
20.5,20.969999,20.33,20.92
21,21.950001,20.82,21.950001
21.950001,22.18,20.85,21.26
21.540001,21.549999,20.049999,20.450001
20.1,20.16,19.52,19.59
19.9,19.98,19.450001,19.6
19.65,19.65,18.82,19.030001
18.690001,18.879999,17.85,17.9
17.799999,17.9,17.389999,17.6
18.18,18.450001,17.66,18.32
18.450001,18.799999,18.26,18.780001
18.959999,19.4,18.780001,19.15
19.59,19.59,18.6,18.77
18.540001,19.25,18.33,18.790001
18.65,19.110001,18.51,19.1
19.09,20.389999,19,20.129999
19.25,19.709999,18.950001,19.200001
19.16,19.98,18.559999,19.9
19.889999,20.27,19.6,19.75
19.75,19.870001,19.5,19.700001
19.700001,20.190001,19.610001,19.870001
19.66,19.790001,19.33,19.48
19.620001,20.690001,19.6,20.450001
20.370001,21.24,20.309999,21.059999
20.870001,21.299999,20.66,21.049999
20.610001,21,20.5,20.540001
20.66,20.950001,20.6,20.9
21,21.049999,20.690001,20.709999
20.75,20.93,19.76,20.17
20.889999,20.9,20.5,20.719999
20.540001,21.6,20.530001,21.120001
20.98,22,20.790001,21.98
22.15,23.16,20.84,20.940001
21.02,21.32,19.799999,20.23
20.67,21.35,20.16,21.059999
20.889999,21.549999,20.67,20.77
20.870001,20.950001,19.799999,19.870001
19.889999,20.139999,19.5,19.559999
19.950001,20.190001,19.65,20.1
20.4,20.809999,20.049999,20.530001
21.040001,21.49,20.76,21.4
21.190001,22.030001,21.129999,21.98
22,22.15,20.190001,20.41
20.690001,20.75,20.309999,20.6
20.43,21.17,20.299999,20.99
21.15,21.280001,21.01,21.120001
21.059999,21.26,20.32,20.459999
20.57,20.639999,20.34,20.43
20.43,20.790001,20.389999,20.43
20.440001,20.700001,20.07,20.24
20.200001,20.280001,20.030001,20.24
20.639999,20.85,20.360001,20.540001
21,21.030001,20.4,20.75
20.889999,20.9,20.25,20.540001
20.52,20.639999,20.219999,20.23
20.200001,20.41,20,20.049999
20.16,20.690001,20.040001,20.65
20.610001,20.950001,20.450001,20.75
20.68,20.93,20.549999,20.719999
20.940001,20.98,20.73,20.85
20.799999,21.870001,20.51,21.360001
21.25,21.379999,20.65,21
21.389999,21.5,20.959999,21.190001
21.139999,21.85,21.049999,21.84
21.940001,22.75,21.309999,21.41
21.68,21.879999,21.049999,21.25
21.280001,22.5,21.16,21.77
22.6,25.33,22.15,24.9
24.870001,24.969999,23.719999,24.440001
24.5,25,24.030001,24.98
25,25.690001,24.049999,24.629999
24.48,29.969999,24.049999,29.360001
28.6,29.1,27.33,28.040001
28.25,30.5,28.07,29.84
30.219999,32.939999,30.219999,30.799999
31,31.4,28.42,29.67
30.200001,30.75,28.610001,29.49
30.67,30.74,28.92,29.889999
30.16,31.370001,29.700001,30.99
31.57,33.450001,31.5,33.400002
33.290001,35.68,32.189999,34.57
35.27,35.970001,34.330002,35.470001
35.599998,36,34.75,35.32
35.41,35.950001,33.330002,34.330002
33.740002,35.330002,33.41,35.330002
35.869999,36.419998,33.450001,34.349998
34.009998,34.299999,31.200001,32.349998
32.009998,32.25,30.870001,31.49
31.35,31.450001,29.559999,30.309999
30.49,32.400002,30.049999,31.559999
32.48,32.490002,31.52,32.369999
32.509998,32.720001,31.65,32.049999
32.049999,32.919998,31.129999,31.52
31.639999,31.77,30.4,30.549999
30.290001,30.389999,27.76,28.530001
28.67,29.969999,28.530001,29.6